Round,Accuracy
1,0.1599
2,0.2026
3,0.253
4,0.3115
5,0.3765
6,0.447
7,0.5023
8,0.547
9,0.5788
10,0.615
11,0.6402
12,0.6598
13,0.6712
14,0.6805
15,0.6886
16,0.6999
17,0.7144
18,0.7297
19,0.7411
20,0.7517
21,0.7607
22,0.7703
23,0.7812
24,0.786
25,0.7972
26,0.8003
27,0.8009
28,0.809
29,0.8143
30,0.818
31,0.8241
32,0.8285
33,0.8316
34,0.835
35,0.8376
36,0.841
37,0.8436
38,0.8479
39,0.8495
40,0.8523
41,0.8552
42,0.8582
43,0.8578
44,0.8621
45,0.8642
46,0.8667
47,0.8691
48,0.872
49,0.8727
50,0.8743
