Round,Accuracy
1,0.1465
2,0.1685
3,0.1768
4,0.1808
5,0.1893
6,0.2099
7,0.2652
8,0.3238
9,0.3533
10,0.3694
11,0.3884
12,0.4204
13,0.4681
14,0.51
15,0.5435
16,0.571
17,0.5964
18,0.6386
19,0.6673
20,0.6936
21,0.7105
22,0.732
23,0.7481
24,0.7616
25,0.7698
26,0.7762
27,0.785
28,0.7926
29,0.8037
30,0.8101
31,0.8118
32,0.815
33,0.8225
34,0.8217
35,0.8288
36,0.8299
37,0.8386
38,0.8401
39,0.8439
40,0.8415
41,0.846
42,0.8503
43,0.8538
44,0.8561
45,0.8591
46,0.862
47,0.8592
48,0.8631
49,0.8652
50,0.8675
